Country	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
United Arab Emirates													3			
Antigua and Barbuda			4				1	2	5	1	1	3	5			
Netherlands Antilles			2	8												
Bermuda		1	2	3	13	17	197	47	22	22	35	43	46	52	34	6
Bolivia				1			2	1				1				
Bahamas		80	17	49	38	37	55	44	50	40	36	56	52	15	13	3
Canada		1	7	3	3	4	3	9	6	2	1	2	1	7	1	
Switzerland				1		1		1	1							
China				6	1				4							
Colombia			2	1				7	1							
Cyprus			1	3	2	4	2	2	1	1		2		1	1	
Germany			1	1	1	2		1								
Denmark				7		1				1		1		3	1	
Dominica				4	1		1									
Georgia			5	4	4	9	16	13	7	6	6	22	14	20		
Ghana		4														
Greece			3	3	3	2	2	2	3		2	3	2	2		
Guyana	1			1		1										
Hong Kong		1	1	3	6	2	10	5	3	2	2	2	4	4	3	
Honduras			4	3	3											
Isle of Man			1							1	1	1	1			
India			2	3	1	5	9	4				2				
Italy			1		1	8			1	2		2	1	2		
Jamaica			1					1		1						
Japan				1	4							1			1	
Saint Kitts and Nevis		1	5	4	4	6	2	2	2	2	1	1				
"Korea, Rep."				3		4		1	1			1	1		1	
Cayman Islands		1	1		3	1	2	4						2		
Liberia	2	8	40	30	28	28	34	22	15	9	9	18	6	8	4	
Marshall Islands	3	7	32	28	27	20	16	16	19	16	27	13	11	14	7	1
Malta	1	4	8	9	11	15	33	12	10	9	11	19	12	9	10	
Mexico		1	2	4	3				4		3		1			
Malaysia		1			8				2							
Nigeria		5	5	1	4	1	2	2	2		1					
Netherlands			6	1	5	7	11	12	5	6	9	31	24	14	8	1
Norway			4	2	1	5	6	5	1	1	3		1	1		
Panama	2	7	19	25	32	30	22	40	38	33	42	50	59	22	20	4
Peru		1	1				1					1				
Singapore	1	1	9	6	34	12	4	2	8	6	5	4	10	5	3	
Sierra Leone			1			2			1							
Trinidad and Tobago		1	4			1	2	2								
Taiwan				1	1		1		2							
United States	51	284	827	868	768	738	893	754	693	698	746	760	689	771	357	50
Saint Vincent and the Grenadines		1	5	2	3	2	1	1	2	1	2	3				
Venezuela			5	1		3										
Vanuatu		6	18	14	2	5	8	3	4	1			5	2	1	
