Country	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
United Arab Emirates													1			
Antigua and Barbuda			2						4							
Netherlands Antilles			1	3												
Bermuda				1			2	3	2	1	4	5	2	6	3	1
Bolivia												1				
Bahamas		2	11	16	10	11	23	15	22	18	20	21	14	7	3	1
Canada			2					2	1			1				
Switzerland				1		1										
China					1											
Colombia			1						1							
Cyprus			1	2		1		1	1	1						
Germany			1	1	1			1								
Denmark										1						
Dominica					1		1									
Georgia				1	1	3		2		1			3	1		
Ghana		3														
Greece			1		1	2			1			1	1	1		
Guyana	1															
Hong Kong				2	1		2	1					1			
Honduras				2	1											
Isle of Man											1	1				
India								1								
Italy										1		1				
Jamaica								1								
Japan				1	2							1				
Saint Kitts and Nevis			1			1										
"Korea, Rep."									1							
Cayman Islands					1	1	1	1								
Liberia		1	3	3	1	5	4	3	3	3	3		1	3		
Marshall Islands			8	4	3	1	6	3	3	1	1	1	2	3	1	
Malta		1	5	8	2	5	9	7	3	4	7	10	7	3	1	
Mexico				1					1		2					
Malaysia		1			5											
Nigeria			1					1								
Netherlands			4	1	3	5	2	3	1	1	4	8	8		3	
Norway			1													
Panama		2	6	5	8	5	6	13	11	12	13	15	17	4	1	
Peru							1					1				
Singapore			1	2	4	1			4	1	1		1		1	
Sierra Leone						1										
Trinidad and Tobago								1								
Taiwan					1											
United States	20	73	133	139	140	134	151	145	132	123	114	123	89	96	36	1
Saint Vincent and the Grenadines						1		1								
Venezuela			1	1												
Vanuatu		2	2	1	2	1	2	2		1				2		
