Country	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
United Arab Emirates													2			
Antigua and Barbuda			2				1	2		1	1	3	5			
Netherlands Antilles			1	5												
Bermuda		1	2	2	13	17	195	44	20	21	31	38	44	46	31	5
Bolivia				1			2	1								
Bahamas		78	5	32	26	24	31	29	27	20	16	34	37	8	10	2
Canada		1	5	3	3	4	3	7	5	2	1	1	1	7	1	
Switzerland								1	1							
China				6												
Colombia			1	1				7								
Cyprus				1	2	3	2	1				2		1	1	
Germany						2										
Denmark				7		1						1		3	1	
Dominica				4												
Georgia			5	3	3	6	16	10	7	5	6	22	11	19		
Ghana		1														
Greece			2	3	2		2	2	2		2	2	1	1		
Guyana				1		1										
Hong Kong		1	1	1	5	2	8	4	3	2	2	2	3	4	3	
Honduras			4	1	2											
Isle of Man			1							1			1			
India			1	3	1	5	9	3				2				
Italy			1		1	8			1	1		1	1	2		
Jamaica			1							1						
Japan					1										1	
Saint Kitts and Nevis		1	4	4	4	5	2	2	2	2	1	1				
"Korea, Rep."				3		4		1				1	1		1	
Cayman Islands		1	1		2		1	3						2		
Liberia	2	7	37	27	27	23	29	19	11	6	6	18	5	5	4	
Marshall Islands	3	7	24	23	23	19	10	13	16	15	15	12	9	11	6	1
Malta	1	2	3	1	9	10	24	5	6	5	4	8	4	6	9	
Mexico		1	2	3	3				3		1		1			
Malaysia					3				2							
Nigeria		4	4	1	4	1	2	1	2		1					
Netherlands			2		2	2	9	9	4	5	5	22	15	14	5	1
Norway			3	2	1	5	6	5	1	1	3		1	1		
Panama	2	5	13	19	23	25	15	26	26	21	29	35	41	18	19	4
Peru		1	1													
Singapore	1	1	8	4	12	11	3	2	4	5	4	4	9	5	2	
Sierra Leone			1			1			1							
Trinidad and Tobago			4			1	2	1								
Taiwan									2							
United State	29	172	675	716	615	582	719	592	548	563	621	631	597	669	320	49
Saint Vincent and the Grenadines		1	5	2	3	1	1		2	1	2	3				
Venezuela			4			3										
Vanuatu		4	16	13		4	6	1	4				5		1	
